	Mean_cyto	Mean_total	log2FoldChange	lfcSE	pvalue	padj
FBgn0000100	154279.6979	16093.33303	3.257063806	0.051031777	0	0
FBgn0002466	1216.874573	6177.667009	-2.3367333	0.054190489	0	0
FBgn0002590	123162.8102	22218.02659	2.466372062	0.064258578	0	0
FBgn0002593	397889.9228	57117.41469	2.796658309	0.066965829	0	0
FBgn0003274	233734.7325	27372.34293	3.089833714	0.063521191	0	0
FBgn0003517	299000.591	21870.80973	3.768785664	0.048107423	0	0
FBgn0004404	11522.23206	1984.577935	2.533274751	0.06427412	0	0
FBgn0004828	4565.240489	10699.19145	-1.229857518	0.028923503	0	0
FBgn0004867	182841.1115	21316.99643	3.095028028	0.063929532	0	0
FBgn0010173	2524.842845	7255.435856	-1.523360109	0.039452203	0	0
FBgn0010303	4568.410222	781.5991235	2.54050966	0.064429459	0	0
FBgn0010741	3961.447964	1255.470681	1.655600477	0.043892156	0	0
FBgn0013756	1231.436776	4999.248614	-2.015969261	0.051990491	0	0
FBgn0014028	4712.645751	753.1860931	2.638117582	0.063520386	0	0
FBgn0015393	12703.31753	1840.104899	2.783504575	0.062915108	0	0
FBgn0016119	5421.110879	955.4483432	2.500490547	0.044814009	0	0
FBgn0016917	1814.914524	6136.732982	-1.751488706	0.043329672	0	0
FBgn0020497	1486.358341	5021.401146	-1.755707347	0.042910225	0	0
FBgn0020545	13660.06855	2135.793045	2.674150682	0.049317214	0	0
FBgn0023211	2912.78532	601.4894056	2.272713866	0.048963607	0	0
FBgn0024238	2116.123532	10084.2179	-2.249059617	0.037694267	0	0
FBgn0024558	6579.600451	1238.133916	2.405917088	0.059201918	0	0
FBgn0026418	4066.102735	8365.951924	-1.041921433	0.027674618	0	0
FBgn0026566	5600.377728	839.3883378	2.735001172	0.043578531	0	0
FBgn0026872	2127.142946	284.1303037	2.898716071	0.067078535	0	0
FBgn0026879	5345.272474	1164.934245	2.195575432	0.039039233	0	0
FBgn0027561	11043.30856	1053.690007	3.382288962	0.05715146	0	0
FBgn0029937	9273.395818	1510.706377	2.615721891	0.046707916	0	0
FBgn0029942	3124.737198	525.4002734	2.566525331	0.067337549	0	0
FBgn0029971	6287.917836	605.8235966	3.370369853	0.055782258	0	0
FBgn0030669	3002.24997	387.6693126	2.946830824	0.071195123	0	0
FBgn0030679	2393.261617	326.5090608	2.864577143	0.063360279	0	0
FBgn0031247	9570.422285	1019.016479	3.222628278	0.079676445	0	0
FBgn0031360	3698.676558	549.4791127	2.746459707	0.056639281	0	0
FBgn0032140	6073.009742	1073.434656	2.495557851	0.061801372	0	0
FBgn0032330	3500.196905	1149.042211	1.606695902	0.042151658	0	0
FBgn0032511	3327.600914	684.3206127	2.279640008	0.047265501	0	0
FBgn0032587	22833.69171	3226.564465	2.819131513	0.053780908	0	0
FBgn0033340	8832.975096	580.7816038	3.912234516	0.095524748	0	0
FBgn0033683	6697.490258	807.6042699	3.047378912	0.055607441	0	0
FBgn0033690	4203.211503	629.9024359	2.735154195	0.052412265	0	0
FBgn0033926	61954.50228	248421.385	-2.002185137	0.034132558	0	0
FBgn0033927	27356.43656	108666.357	-1.986736792	0.051772013	0	0
FBgn0033934	2976.206131	683.8390359	2.116567735	0.052675947	0	0
FBgn0034057	3038.311772	574.5211055	2.398692632	0.051890634	0	0
FBgn0034443	1885.397241	357.3299751	2.396574628	0.061647272	0	0
FBgn0034744	2859.358961	708.399452	2.010574482	0.047236905	0	0
FBgn0034793	4429.512226	547.0712287	3.011640798	0.061254997	0	0
FBgn0035060	29629.7351	2252.816204	3.70567082	0.072282537	0	0
FBgn0035082	3081.281619	379.0009305	3.016309289	0.077237376	0	0
FBgn0035083	7540.718022	2210.919024	1.769318505	0.033309708	0	0
FBgn0035692	3217.951837	574.5211055	2.479873952	0.053683868	0	0
FBgn0036663	3118.309206	14131.87078	-2.17576375	0.047162398	0	0
FBgn0036726	3107.740017	546.589652	2.502979585	0.06131254	0	0
FBgn0038107	12715.08337	1357.083383	3.222152887	0.061815329	0	0
FBgn0038197	9232.801931	1133.150177	3.016790668	0.077004811	0	0
FBgn0038224	10240.27764	1560.790363	2.711238467	0.043483241	0	0
FBgn0039461	1576.154703	221.5253215	2.825181529	0.07250521	0	0
FBgn0039869	3766.92582	894.7696681	2.071591048	0.050197226	0	0
FBgn0040339	3108.841991	394.8929644	2.971392882	0.066064214	0	0
FBgn0040890	1796.531	194.5570215	3.196553283	0.076763147	0	0
FBgn0042106	10551.69445	1397.535833	2.91045697	0.066616536	0	0
FBgn0050499	4534.516541	632.3103198	2.83914377	0.047393636	0	0
FBgn0052803	4249.972842	730.5519842	2.536586922	0.048544628	0	0
FBgn0062928	10500.61471	817.7173824	3.669291147	0.096953676	0	0
FBgn0065099	2083037.178	62165.30256	5.043201919	0.123389949	0	0
FBgn0085359	24387.62957	2518.165013	3.273617473	0.039767642	0	0
FBgn0087035	2990.229263	14810.89405	-2.306006333	0.041563566	0	0
FBgn0259993	4788.259283	495.0609359	3.26512408	0.07249459	0	0
FBgn0261599	103802.6939	17963.29569	2.527499614	0.06168414	0	0
FBgn0263350	1665.417831	5687.421841	-1.769349868	0.044431732	0	0
FBgn0263380	3589.092656	936.1852717	1.935430319	0.050977096	0	0
FBgn0263489	3419.150997	135.8046536	4.641208763	0.111005625	0	0
FBgn0263599	2154.815835	9915.666021	-2.198731556	0.057710627	0	0
FBgn0264449	5462.659037	498.9135502	3.430920591	0.089084996	0	0
FBgn0086472	76327.94533	14817.15455	2.361358346	0.063002982	1E-307	3E-305
FBgn0031315	1863.903481	284.6118804	2.705480442	0.072609754	7E-304	1E-301
FBgn0034089	2197.382798	300.5039144	2.864458618	0.076889213	9E-304	1E-301
FBgn0032001	1579.087248	188.7781001	3.050799602	0.082080067	2E-302	3E-300
FBgn0033429	1296.178756	137.249384	3.228222852	0.087081146	8E-301	1E-298
FBgn0035529	2412.367902	609.6762109	1.982762384	0.053563689	6E-300	9E-298
FBgn0001280	2794.083747	827.3489181	1.752792052	0.047647475	3E-296	4.5838E-294
FBgn0028683	2007.084699	459.4242537	2.125556301	0.057946059	1.4333E-294	2.1522E-292
FBgn0035517	5312.634948	725.2546395	2.86454922	0.078200747	9.2811E-294	1.377E-291
FBgn0040396	2631.618554	575.4842591	2.187809841	0.060282333	2.1076E-288	3.0903E-286
FBgn0022027	1938.87694	253.3093894	2.926192581	0.080811869	4.2474E-287	6.1553E-285
