	D17p7_A2_nuc	D17p7_B7_nuc	D17p7_B8_cyto	D17p7_A3_cyto	D17p7_B9_memb	D17p7_A4_memb	D17p7_B10_insol	D17p7_A5_insol	R2-total-depl	R1-total-depl
FBgn0000003	172987.7469	131520.975	18174136.87	15605076.13	750164.0863	763009.452	62163.92108	48256.83844	577726.4806	577726.4806
FBgn0000008	34.63807593	34.10621385	45.91422757	33.93502442	19.21576081	21.15932391	30.66831233	34.75548935	20.22622501	20.22622501
FBgn0000014	0	0	0	0	0	0.846372956	0	0	0	0
FBgn0000015	3.463807593	5.931515452	1.836569103	4.241878053	5.240662039	3.385491825	2.992030471	9.268130493	1.926307143	1.926307143
FBgn0000017	5720.478241	6552.841696	2382.030126	2190.930014	2963.594383	3111.266987	4365.372457	4508.945485	2225.366328	2225.366328
FBgn0000018	311.7426834	341.0621385	387.5160807	390.2527809	396.5434277	378.3287115	281.9988719	291.9461105	316.8775251	316.8775251
FBgn0000022	1.731903797	4.448636589	0	2.120939026	0	1.692745913	0	2.317032623	0	0
FBgn0000024	60.61663288	50.41788134	33.05824385	21.20939026	28.82364122	24.54481573	31.41631995	33.21080093	23.11568572	23.11568572
FBgn0000028	0	0	0	0	0	0	0	0.772344208	0	0
FBgn0000032	895.3942629	814.1004958	369.1503897	375.4062077	400.0372023	353.7838957	332.8633899	289.6290779	615.9367091	615.9367091
FBgn0000036	3.463807593	7.414394315	11.01941462	6.362817079	1.746887346	1.692745913	2.244022853	1.544688416	2.407883929	2.407883929
FBgn0000037	1.731903797	0	1.836569103	4.241878053	0	2.539118869	0.748007618	2.317032623	0.481576786	0.481576786
FBgn0000038	0	0	0	0	0	0	0	0	0	0
FBgn0000039	0	0	0	0	0	0.846372956	0	0	0	0
FBgn0000042	16815.05396	19381.22674	36046.34178	40991.38856	52349.84656	56707.83444	60454.72368	59032.58483	31827.40978	31827.40978
FBgn0000043	4125.394844	4183.201273	7913.776264	8810.380716	6725.516284	7090.912628	13479.09727	14236.62078	10882.67221	10882.67221
