PeakID (cmd=C57_H.p_peaks.bed mm9)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
MACS_peak_9927	chr5	21150795	21153496	+	3233.06	NA	promoter-TSS (NM_177076)	promoter-TSS (NM_177076)	343	NM_026034	67211	Mm.260782	NM_026034	ENSMUSG00000038525	Armc10	2810037C14Rik|Svh	armadillo repeat containing 10	protein-coding
MACS_peak_360	chr1	92499273	92501152	+	3233.06	NA	intron (NM_133805, intron 1 of 7)	CpG-395	212	NM_133805	108679	Mm.119177	NM_133805	ENSMUSG00000034432	Cops8	9430009J09Rik|AA408242|Csn8|Sgn8	COP9 (constitutive photomorphogenic) homolog, subunit 8 (Arabidopsis thaliana)	protein-coding
MACS_peak_6562	chr19	4304986	4306380	+	3233.06	NA	intron (NM_130863, intron 1 of 21)	CpG	272	NM_130863	110355	Mm.254144	NM_130863	ENSMUSG00000024858	Adrbk1	Adrbk-1|Bark-1|GRK2|betaARK1	adrenergic receptor kinase, beta 1	protein-coding
MACS_peak_9597	chr4	133139358	133141358	+	3233.06	NA	promoter-TSS (NM_133884)	promoter-TSS (NM_133884)	70	NM_133884	100210	Mm.274001	NM_133884	ENSMUSG00000028848	Gpn2	AI838661|Atpbd1b|R74630|RP23-137L22.10	GPN-loop GTPase 2	protein-coding
MACS_peak_6624	chr19	6060568	6062567	+	3233.06	NA	exon (NM_013859, exon 1 of 1)	exon (NM_013859, exon 1 of 1)	360	NM_013859	29805	Mm.2310	NM_013859	ENSMUSG00000075227	Znhit2	C11orf5|Fon|ORF6|Znhit2-ps	zinc finger, HIT domain containing 2	protein-coding
MACS_peak_13144	chr8	113579859	113581711	+	3233.06	NA	TTS (NM_146217)	TTS (NM_146217)	546	NM_028274	72544	Mm.334810	NM_028274		Exosc6	2610510N21Rik|C76919|Mtr3	exosome component 6	protein-coding
MACS_peak_13952	chr9	108975373	108977478	+	3233.06	NA	exon (NM_172774, exon 1 of 13)	exon (NM_172774, exon 1 of 13)	213	NM_172774	235610	Mm.100622	NM_172774	ENSMUSG00000025646	Atrip	6620401K05Rik	ATR interacting protein	protein-coding
MACS_peak_4902	chr15	99198816	99201292	+	3230.05	NA	intron (NM_011711, intron 1 of 26)	intron (NM_011711, intron 1 of 26)	843	NM_011711	22379	Mm.29043	NM_011711	ENSMUSG00000023008	Fmnl3	2700073B04Rik|FBP11|Wbp3|mKIAA2014	formin-like 3	protein-coding
MACS_peak_12928	chr8	86589518	86591998	+	3230.05	NA	promoter-TSS (NM_009055)	promoter-TSS (NM_009055)	23	NM_009055	19724	Mm.7892	NM_009055	ENSMUSG00000031706	Rfx1	AI047719|AI385641	regulatory factor X, 1 (influences HLA class II expression)	protein-coding
MACS_peak_13575	chr9	57384568	57386353	+	3230.05	NA	exon (NM_175273, exon 1 of 4)	exon (NM_175273, exon 1 of 4)	125	NM_001166364	78323	Mm.25814	NM_001166364	ENSMUSG00000032305	2310046O06Rik	AI594866|Fam219b	RIKEN cDNA 2310046O06 gene	protein-coding
